Timestamp,BallX,BallY,TargetX,TargetY,DistToCenter,PolyRadius,IsInside
0.131,400.0,400.0,375.3,230.8,0.0,250.0,YES
0.170,397.4,382.1,375.3,230.8,18.1,250.0,YES
0.197,395.6,369.7,375.3,230.8,30.6,250.0,YES
0.223,393.8,357.8,375.3,230.8,42.6,250.0,YES
0.258,391.5,341.8,375.3,230.8,58.8,250.0,YES
0.294,389.1,325.3,375.3,230.8,75.5,250.0,YES
0.317,387.6,314.7,375.3,230.8,86.2,250.0,YES
0.341,386.0,303.7,375.3,230.8,97.3,250.0,YES
0.363,384.5,293.6,375.3,230.8,107.5,250.0,YES
0.387,382.9,282.6,375.3,230.8,118.6,250.0,YES
0.411,381.3,271.6,375.3,230.8,129.7,250.0,YES
0.433,379.8,261.5,375.3,230.8,139.9,250.0,YES
0.457,378.2,250.5,375.3,230.8,151.1,250.0,YES
0.480,376.7,240.0,375.3,230.8,161.7,250.0,YES
0.503,375.3,230.8,366.7,241.6,171.0,250.0,YES
0.529,374.8,231.4,366.7,241.6,170.4,250.0,YES
0.555,374.4,232.0,366.7,241.6,170.0,250.0,YES
0.580,373.9,232.5,366.7,241.6,169.5,250.0,YES
0.607,373.5,233.1,366.7,241.6,169.0,250.0,YES
0.631,373.1,233.6,366.7,241.6,168.5,250.0,YES
0.658,372.6,234.2,366.7,241.6,168.0,250.0,YES
0.682,372.2,234.7,366.7,241.6,167.6,250.0,YES
0.705,371.8,235.2,366.7,241.6,167.2,250.0,YES
0.729,371.4,235.8,366.7,241.6,166.7,250.0,YES
0.753,371.0,236.3,366.7,241.6,166.3,250.0,YES
0.777,370.5,236.8,366.7,241.6,165.8,250.0,YES
0.800,370.1,237.3,366.7,241.6,165.4,250.0,YES
0.824,369.7,237.8,366.7,241.6,165.0,250.0,YES
0.847,369.3,238.3,366.7,241.6,164.6,250.0,YES
0.871,368.9,238.8,366.7,241.6,164.1,250.0,YES
0.895,368.5,239.3,366.7,241.6,163.7,250.0,YES
0.920,368.1,239.9,366.7,241.6,163.3,250.0,YES
0.945,367.6,240.4,366.7,241.6,162.8,250.0,YES
0.968,367.2,240.9,366.7,241.6,162.4,250.0,YES
0.994,366.8,241.5,366.7,241.6,162.0,250.0,YES
1.018,366.7,241.6,384.9,260.4,161.8,250.0,YES
1.043,368.3,243.2,384.9,260.4,160.0,250.0,YES
1.066,369.1,244.1,384.9,260.4,158.9,250.0,YES
1.090,370.0,245.0,384.9,260.4,157.9,250.0,YES
1.115,370.9,245.9,384.9,260.4,156.8,250.0,YES
1.140,371.8,246.9,384.9,260.4,155.7,250.0,YES
